name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';420.000000;2.046458e-01;-6.546730e-01;1.298864e+01;2.848229e-02;3.674902e-03;0;0;0;0;0;0;5.588770e+02;1.167163e+03;-201;1.502473e+03;-201;2.425630e+03;-201
'unknown';420.050000;2.892538e-01;3.437683e+00;8.147172e+00;4.116562e-02;5.042823e-03;0;0;0;0;0;0;4.538565e+02;1.039690e+03;-201;1.370505e+03;-201;2.258886e+03;-201
'unknown';420.100000;3.311362e-01;4.361660e+00;7.671582e+00;3.966040e-02;2.187187e-03;0;0;0;0;0;0;4.468957e+02;9.998228e+02;-201;1.386361e+03;-201;2.263621e+03;-201
'unknown';420.150000;3.802148e-01;3.769428e+00;1.109901e+01;4.115402e-02;3.045109e-03;0;0;0;0;0;0;4.257393e+02;1.114940e+03;-201;1.382797e+03;-201;2.172030e+03;-201
'unknown';420.200000;2.914203e-01;-6.561005e-01;1.655036e+01;2.965434e-02;-7.271992e-04;0;0;0;0;0;0;4.569506e+02;1.145651e+03;-201;1.450154e+03;-201;2.305131e+03;-201
'unknown';420.250000;4.960710e-01;-3.119187e+00;1.829167e+01;4.446360e-02;-5.475238e-03;0;0;0;0;0;0;4.485024e+02;1.253963e+03;-201;1.431580e+03;-201;2.260053e+03;-201
'unknown';420.300000;1.004140e+00;-4.799636e+00;1.856337e+01;4.913495e-02;-1.098029e-02;0;0;0;0;0;0;4.642342e+02;1.259595e+03;-201;1.447520e+03;-201;2.284979e+03;-201
'unknown';420.350000;1.411589e+00;-5.547207e+00;1.647322e+01;5.767460e-02;-1.469336e-02;0;0;0;0;0;0;6.181656e+02;1.425938e+03;-201;1.538239e+03;-201;2.330020e+03;-201
'unknown';420.400000;1.315489e+00;-8.969476e-01;9.820715e+00;4.820155e-02;-1.219282e-02;0;0;0;0;0;0;5.333222e+02;1.504978e+03;-201;1.504326e+03;-201;2.376986e+03;-201
'unknown';420.450000;7.846660e-01;-2.193358e+00;9.134532e+00;4.771365e-02;-8.896627e-03;0;0;0;0;0;0;7.957583e+02;1.547804e+03;-201;1.662763e+03;-201;2.644047e+03;-201
'unknown';420.500000;7.392299e-01;-2.051890e+00;8.407436e+00;5.863163e-02;-5.901344e-03;0;0;0;0;0;0;5.750300e+02;1.428561e+03;-201;1.486325e+03;-201;2.476451e+03;-201
'unknown';420.550000;9.568484e-01;-9.437596e+00;1.626713e+01;6.876887e-02;-9.920304e-03;0;0;0;0;0;0;6.282043e+02;1.497727e+03;-1.292113e+02;1.619099e+03;-1.392695e+02;2.604739e+03;-1.359218e+02
'unknown';420.600000;1.226138e+00;-1.097782e+01;1.703732e+01;7.615869e-02;-1.034374e-02;3.014894e+01;1.090230e-02;5.956383e-01;7.301000e+00;8.368698e+00;1.856693e+01;3.364028e+02;1.463817e+03;-5.728253e+01;1.475127e+03;-7.477668e+01;2.460363e+03;-6.966048e+01
